                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.82388,                0.79542,                 1.4357,                0.79258,                0.75631,                0.79339,                0.61523,                0.58145,                 0.5608,                 1.3007,               0.002179,               0.002179,               0.002179
                     81,                0.82235,                0.79122,                 1.4343,                0.79856,                0.75258,                0.79381,                0.61588,                0.58162,                0.56036,                 1.3006,                0.00208,                0.00208,                0.00208
                     82,                0.81894,                0.77789,                 1.4326,                0.79348,                0.75718,                0.79405,                0.61489,                0.58134,                0.55981,                 1.3003,               0.001981,               0.001981,               0.001981
                     83,                0.81862,                0.78907,                 1.4348,                 0.8025,                0.74598,                0.79445,                 0.6149,                0.58111,                0.55919,                 1.3001,               0.001882,               0.001882,               0.001882
                     84,                0.81125,                 0.7674,                 1.4268,                0.80136,                0.74716,                0.79494,                0.61511,                0.58108,                0.55869,                 1.3004,               0.001783,               0.001783,               0.001783
                     85,                0.81123,                0.76385,                 1.4249,                0.80051,                0.74576,                0.79584,                0.61654,                0.58089,                0.55828,                 1.3004,               0.001684,               0.001684,               0.001684
                     86,                0.80579,                0.76147,                 1.4178,                0.79893,                0.75028,                0.79605,                0.61668,                0.58076,                0.55799,                 1.3003,               0.001585,               0.001585,               0.001585
                     87,                0.81148,                0.75881,                 1.4243,                0.79646,                0.75116,                0.79689,                0.61642,                0.58091,                 0.5574,                 1.3004,               0.001486,               0.001486,               0.001486
                     88,                0.79658,                0.75691,                 1.4173,                0.78802,                0.75977,                0.79733,                0.61648,                0.58073,                0.55724,                 1.3002,               0.001387,               0.001387,               0.001387
                     89,                0.80021,                0.74648,                 1.4168,                0.78441,                0.76526,                0.79751,                0.61725,                 0.5806,                 0.5569,                 1.3002,               0.001288,               0.001288,               0.001288
                     90,                0.79307,                0.73958,                 1.4112,                0.78438,                0.76722,                0.79776,                0.61751,                0.58055,                0.55696,                 1.3003,               0.001189,               0.001189,               0.001189
                     91,                0.59263,                0.43152,                 1.3217,                0.78107,                0.77065,                0.79809,                0.61757,                0.58033,                0.55701,                 1.3002,                0.00109,                0.00109,                0.00109
                     92,                0.58778,                0.42185,                  1.313,                0.77931,                0.77061,                0.79843,                 0.6183,                0.58015,                0.55661,                    1.3,               0.000991,               0.000991,               0.000991
                     93,                0.57616,                0.41439,                 1.3041,                0.76625,                 0.7851,                0.79837,                0.61797,                0.58008,                 0.5563,                 1.3002,               0.000892,               0.000892,               0.000892
                     94,                0.57069,                0.39319,                 1.2968,                0.78132,                0.76639,                 0.7985,                0.61831,                0.58006,                0.55593,                 1.3003,               0.000793,               0.000793,               0.000793
                     95,                0.56685,                0.39526,                 1.2913,                0.78279,                0.76874,                0.79873,                0.61891,                0.58006,                0.55542,                 1.3005,               0.000694,               0.000694,               0.000694
                     96,                0.55617,                 0.3793,                   1.28,                0.78279,                0.77129,                 0.7991,                0.61917,                0.57989,                0.55493,                 1.3005,               0.000595,               0.000595,               0.000595
                     97,                0.55627,                0.37938,                 1.2777,                0.78223,                0.77491,                0.79975,                0.61949,                0.57973,                0.55477,                 1.3003,               0.000496,               0.000496,               0.000496
                     98,                0.55017,                 0.3685,                 1.2739,                0.78149,                0.77687,                0.80027,                0.61992,                0.57976,                0.55512,                 1.3004,               0.000397,               0.000397,               0.000397
                     99,                0.54703,                0.36596,                 1.2714,                0.78294,                0.77395,                0.80008,                0.62022,                0.57987,                0.55542,                 1.3006,               0.000298,               0.000298,               0.000298
                    100,                0.54012,                0.35932,                 1.2633,                0.78257,                0.77531,                0.79988,                0.61954,                0.58011,                0.55547,                  1.301,               0.000199,               0.000199,               0.000199
