                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.69744,                0.81432,                 1.2886,                0.64048,                0.64656,                0.67539,                0.51502,                0.56368,                0.63902,                 1.2292,                0.00307,                0.00307,                0.00307
                     72,                0.69603,                 0.8153,                 1.2909,                0.62616,                 0.6789,                0.68123,                0.52474,                0.55902,                0.63655,                 1.2279,               0.002971,               0.002971,               0.002971
                     73,                0.69615,                0.81706,                 1.2903,                0.65757,                0.66232,                0.68071,                0.52584,                0.55956,                0.63594,                 1.2258,               0.002872,               0.002872,               0.002872
                     74,                0.69388,                0.81607,                 1.2801,                0.62637,                0.68149,                0.68334,                0.52974,                0.55736,                0.63259,                 1.2205,               0.002773,               0.002773,               0.002773
                     75,                0.69827,                0.81256,                 1.2869,                0.63453,                0.66849,                 0.6895,                0.53137,                0.55681,                0.63196,                 1.2225,               0.002674,               0.002674,               0.002674
                     76,                0.68277,                0.79428,                 1.2739,                0.63332,                0.69754,                0.69231,                0.53342,                0.55486,                0.62901,                 1.2215,               0.002575,               0.002575,               0.002575
                     77,                0.68969,                0.80118,                 1.2836,                 0.6349,                0.68784,                0.69236,                0.53266,                0.55606,                0.62423,                 1.2211,               0.002476,               0.002476,               0.002476
                     78,                0.68938,                0.79257,                 1.2801,                0.61237,                0.68247,                0.68526,                0.52846,                0.55656,                0.62722,                 1.2202,               0.002377,               0.002377,               0.002377
                     79,                0.67876,                0.79052,                 1.2717,                0.67359,                0.67109,                0.69709,                 0.5368,                0.55364,                0.62091,                 1.2201,               0.002278,               0.002278,               0.002278
                     80,                0.67403,                 0.7932,                 1.2742,                0.65838,                0.66854,                0.70338,                0.53841,                0.55635,                0.61299,                 1.2225,               0.002179,               0.002179,               0.002179
                     81,                 0.6766,                0.77722,                 1.2703,                0.66641,                0.65195,                0.69967,                0.54228,                0.55564,                0.61051,                 1.2194,                0.00208,                0.00208,                0.00208
                     82,                0.67271,                0.76366,                  1.265,                0.68189,                0.64152,                0.69968,                0.54586,                0.55504,                0.60996,                 1.2208,               0.001981,               0.001981,               0.001981
                     83,                0.67588,                0.76883,                 1.2692,                0.66989,                0.66399,                0.70454,                0.54914,                0.55445,                0.60556,                 1.2193,               0.001882,               0.001882,               0.001882
                     84,                0.66426,                 0.7627,                 1.2579,                0.68133,                0.67734,                 0.7086,                 0.5495,                0.55582,                0.60197,                 1.2201,               0.001783,               0.001783,               0.001783
                     85,                0.66952,                0.76639,                  1.266,                0.64263,                0.69583,                0.71047,                  0.548,                0.55642,                0.59976,                 1.2205,               0.001684,               0.001684,               0.001684
                     86,                0.66679,                0.76155,                 1.2604,                0.67476,                0.67989,                0.71503,                0.55455,                0.55529,                0.59567,                 1.2211,               0.001585,               0.001585,               0.001585
                     87,                0.66379,                0.75857,                 1.2601,                0.69371,                0.65875,                 0.7154,                0.55325,                0.55492,                0.59472,                 1.2221,               0.001486,               0.001486,               0.001486
                     88,                0.66697,                0.75185,                 1.2647,                0.68067,                0.67321,                0.71729,                0.55496,                0.55495,                0.59364,                 1.2233,               0.001387,               0.001387,               0.001387
                     89,                0.65648,                0.74118,                 1.2558,                0.69138,                0.68548,                0.72813,                0.56165,                0.55253,                0.58896,                 1.2198,               0.001288,               0.001288,               0.001288
                     90,                0.65917,                0.75001,                 1.2592,                0.69872,                 0.6698,                0.72583,                0.55964,                0.55248,                0.58997,                 1.2178,               0.001189,               0.001189,               0.001189
                     91,                0.47864,                0.54462,                 1.1533,                0.69455,                0.64816,                0.72256,                0.56286,                0.55198,                 0.5855,                 1.2174,                0.00109,                0.00109,                0.00109
                     92,                0.47381,                0.53134,                 1.1488,                0.68513,                0.67619,                0.72625,                0.56797,                0.55176,                0.58225,                 1.2176,               0.000991,               0.000991,               0.000991
                     93,                0.46443,                0.51148,                  1.145,                0.66893,                0.69646,                0.73119,                0.57184,                0.55225,                0.57953,                 1.2192,               0.000892,               0.000892,               0.000892
                     94,                0.46595,                0.49955,                 1.1438,                0.65494,                 0.7419,                0.74176,                0.57359,                0.55331,                0.57631,                 1.2213,               0.000793,               0.000793,               0.000793
                     95,                0.46463,                0.49569,                 1.1418,                0.65523,                0.75093,                0.74287,                0.57724,                0.55315,                0.57373,                 1.2223,               0.000694,               0.000694,               0.000694
                     96,                0.45855,                0.48519,                 1.1462,                0.68122,                 0.7239,                0.74571,                0.57842,                0.55299,                0.57177,                 1.2228,               0.000595,               0.000595,               0.000595
                     97,                0.45351,                0.48263,                 1.1353,                0.72768,                0.68107,                0.74972,                0.58154,                0.55334,                0.56998,                 1.2233,               0.000496,               0.000496,               0.000496
                     98,                0.45194,                0.46866,                 1.1332,                0.73385,                  0.681,                0.75379,                0.58351,                0.55282,                0.56961,                 1.2233,               0.000397,               0.000397,               0.000397
                     99,                0.44996,                0.46567,                 1.1344,                0.69867,                0.72948,                0.75591,                0.58647,                0.55194,                0.56889,                 1.2231,               0.000298,               0.000298,               0.000298
                    100,                0.44886,                0.45811,                 1.1315,                0.69662,                0.73005,                0.75697,                0.58834,                0.55145,                0.56835,                 1.2231,               0.000199,               0.000199,               0.000199
