                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.71472,                0.86163,                 1.2347,                0.58797,                0.63752,                0.64934,                0.50084,                0.57655,                0.64298,                 1.0887,             0.00043205,             0.00043205,             0.00043205
                     55,                0.71384,                0.84383,                 1.2312,                 0.5548,                0.67879,                0.64372,                0.49896,                0.57119,                0.63258,                 1.0868,             0.00042305,             0.00042305,             0.00042305
                     56,                 0.7147,                0.84563,                 1.2276,                0.66114,                0.59693,                0.66516,                0.50695,                0.57183,                0.63865,                 1.0888,             0.00041405,             0.00041405,             0.00041405
                     57,                0.70359,                0.83591,                  1.217,                0.63266,                0.62451,                0.66364,                0.51348,                0.56877,                0.62606,                 1.0845,             0.00040505,             0.00040505,             0.00040505
                     58,                 0.7097,                0.83587,                  1.224,                 0.6196,                0.63266,                0.67163,                0.51666,                0.57434,                0.62799,                 1.0883,             0.00039605,             0.00039605,             0.00039605
                     59,                 0.7113,                0.83385,                 1.2247,                0.64839,                  0.625,                  0.685,                0.53582,                0.56787,                0.62053,                  1.082,             0.00038705,             0.00038705,             0.00038705
                     60,                0.70358,                0.82105,                 1.2168,                0.64676,                0.66446,                0.68957,                0.53633,                0.56704,                0.61518,                 1.0802,             0.00037805,             0.00037805,             0.00037805
                     61,                0.71192,                0.82043,                 1.2251,                0.65812,                0.65355,                0.68146,                0.52841,                0.56998,                0.61623,                 1.0835,             0.00036905,             0.00036905,             0.00036905
                     62,                0.69855,                0.81776,                  1.216,                0.61106,                0.70931,                0.69335,                0.53795,                0.56704,                0.61509,                 1.0839,             0.00036005,             0.00036005,             0.00036005
                     63,                0.69362,                0.81297,                 1.2133,                0.63801,                0.67001,                0.69213,                0.53052,                0.56709,                0.61443,                 1.0826,             0.00035106,             0.00035106,             0.00035106
                     64,                 0.6891,                0.80313,                 1.2126,                0.58593,                0.72086,                0.69412,                0.53523,                 0.5644,                0.61371,                 1.0795,             0.00034206,             0.00034206,             0.00034206
                     65,                0.68721,                0.79346,                  1.209,                0.62618,                 0.6824,                0.69642,                0.53944,                0.56708,                0.60878,                 1.0808,             0.00033306,             0.00033306,             0.00033306
                     66,                0.69322,                0.79521,                 1.2153,                0.61152,                0.67324,                0.69582,                 0.5443,                0.56561,                0.61221,                 1.0779,             0.00032406,             0.00032406,             0.00032406
                     67,                0.69073,                0.79399,                 1.2112,                0.61411,                0.67478,                0.69837,                 0.5452,                0.56622,                0.61598,                 1.0784,             0.00031506,             0.00031506,             0.00031506
                     68,                0.68089,                0.79197,                 1.2046,                 0.6494,                0.64699,                0.69395,                0.54072,                0.56522,                0.61927,                 1.0789,             0.00030606,             0.00030606,             0.00030606
                     69,                0.68554,                0.78897,                 1.2078,                0.66333,                0.65044,                0.70037,                0.54591,                0.56257,                0.60513,                 1.0756,             0.00029706,             0.00029706,             0.00029706
                     70,                0.68362,                0.78583,                 1.2065,                0.62557,                0.67869,                0.70176,                0.55154,                0.56074,                0.60675,                 1.0741,             0.00028806,             0.00028806,             0.00028806
                     71,                0.68169,                0.76734,                 1.2043,                0.64241,                0.64319,                0.70201,                0.55122,                0.56132,                0.61073,                 1.0756,             0.00027906,             0.00027906,             0.00027906
                     72,                0.67836,                0.77413,                  1.204,                0.62947,                 0.6598,                0.69719,                0.55039,                0.55956,                0.60607,                 1.0756,             0.00027006,             0.00027006,             0.00027006
                     73,                0.67759,                0.77326,                 1.2012,                0.65606,                0.65338,                0.70298,                0.55222,                0.55938,                0.60435,                 1.0751,             0.00026106,             0.00026106,             0.00026106
                     74,                0.67685,                0.76748,                 1.2002,                0.65638,                0.64421,                0.70525,                0.55342,                0.55687,                0.59829,                 1.0722,             0.00025207,             0.00025207,             0.00025207
                     75,                0.67802,                0.76907,                 1.1986,                0.69251,                0.63818,                0.71196,                0.55496,                0.55731,                0.59464,                 1.0737,             0.00024307,             0.00024307,             0.00024307
                     76,                0.66784,                0.75031,                 1.1912,                0.66999,                0.65371,                 0.7213,                0.55941,                0.55652,                0.59467,                 1.0721,             0.00023407,             0.00023407,             0.00023407
                     77,                0.67476,                0.75786,                 1.2003,                0.73912,                0.61654,                 0.7286,                0.56534,                  0.559,                 0.5897,                 1.0744,             0.00022507,             0.00022507,             0.00022507
                     78,                0.67437,                0.75171,                 1.1979,                0.72308,                0.63728,                0.72324,                0.56171,                 0.5578,                0.58536,                 1.0727,             0.00021607,             0.00021607,             0.00021607
                     79,                0.66228,                0.74615,                  1.189,                0.71869,                0.62361,                0.72106,                0.56206,                0.55689,                0.58307,                 1.0711,             0.00020707,             0.00020707,             0.00020707
                     80,                0.65703,                0.74693,                 1.1859,                0.65973,                0.67351,                0.72444,                0.56508,                0.55719,                0.58207,                 1.0706,             0.00019807,             0.00019807,             0.00019807
                     81,                0.65951,                0.73639,                 1.1865,                0.68461,                 0.6672,                0.73059,                0.56791,                0.55679,                0.58008,                 1.0706,             0.00018907,             0.00018907,             0.00018907
                     82,                0.65797,                 0.7249,                  1.183,                0.69319,                0.67104,                0.72971,                0.57081,                0.55477,                0.57911,                 1.0686,             0.00018007,             0.00018007,             0.00018007
                     83,                0.66066,                0.72855,                 1.1869,                0.70741,                0.65366,                0.73705,                0.57526,                0.55734,                0.57368,                 1.0699,             0.00017107,             0.00017107,             0.00017107
                     84,                0.65157,                0.71792,                 1.1802,                0.64448,                0.71887,                0.73997,                0.57581,                0.55779,                0.57123,                 1.0701,             0.00016207,             0.00016207,             0.00016207
                     85,                0.65516,                0.72557,                 1.1861,                0.68971,                0.66432,                 0.7429,                0.58117,                0.55579,                0.56893,                 1.0695,             0.00015308,             0.00015308,             0.00015308
                     86,                0.65366,                0.71603,                 1.1829,                0.71885,                0.65887,                0.74604,                0.58269,                0.55599,                0.56769,                 1.0705,             0.00014408,             0.00014408,             0.00014408
                     87,                0.65223,                0.71876,                 1.1846,                0.66037,                0.72212,                0.74941,                0.58501,                0.55593,                0.56856,                 1.0702,             0.00013508,             0.00013508,             0.00013508
                     88,                0.65008,                0.71404,                 1.1814,                 0.6674,                0.71842,                0.75095,                0.58509,                0.55488,                0.56685,                 1.0691,             0.00012608,             0.00012608,             0.00012608
                     89,                0.64467,                0.70256,                 1.1766,                0.66687,                 0.7139,                0.75095,                0.58797,                0.55353,                0.56405,                 1.0678,             0.00011708,             0.00011708,             0.00011708
                     90,                0.64875,                0.71118,                 1.1806,                0.70461,                  0.681,                0.75231,                0.59035,                0.55151,                0.56163,                 1.0658,             0.00010808,             0.00010808,             0.00010808
                     91,                0.46828,                0.48729,                 1.0398,                0.68501,                0.69042,                 0.7552,                0.59206,                0.55109,                0.55688,                 1.0652,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     92,                0.46211,                0.46921,                 1.0331,                0.69692,                0.69443,                0.76027,                0.59767,                0.55253,                0.55372,                 1.0656,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     93,                0.45419,                0.45296,                   1.03,                0.70239,                0.69067,                0.76107,                0.59769,                0.55161,                0.55308,                 1.0657,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     94,                0.45371,                0.44319,                 1.0285,                0.68562,                0.70192,                0.76246,                0.59667,                0.55205,                0.55142,                 1.0666,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     95,                0.45238,                0.44055,                 1.0242,                 0.6727,                  0.719,                0.76332,                0.59815,                0.55228,                0.54852,                 1.0672,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     96,                0.44797,                0.42837,                 1.0284,                 0.6966,                0.69299,                0.76481,                0.60097,                0.55184,                0.54668,                 1.0661,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     97,                0.44533,                0.43215,                 1.0268,                 0.7104,                0.67912,                0.76461,                0.59993,                 0.5523,                0.54657,                 1.0671,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     98,                0.44369,                0.42052,                 1.0204,                0.73245,                0.66856,                0.76509,                 0.5998,                 0.5529,                0.54613,                 1.0675,             3.6087e-05,             3.6087e-05,             3.6087e-05
                     99,                0.44344,                0.41337,                   1.02,                 0.7494,                0.66629,                0.76766,                0.60026,                0.55337,                 0.5463,                 1.0684,             2.7088e-05,             2.7088e-05,             2.7088e-05
                    100,                0.44095,                0.40728,                 1.0223,                0.72848,                0.67406,                0.76956,                0.60159,                0.55356,                0.54618,                 1.0687,             1.8089e-05,             1.8089e-05,             1.8089e-05
