                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                0.67876,                0.79412,                 1.2858,                0.72493,                0.57811,                0.67029,                 0.5182,                0.55989,                0.62354,                 1.2575,               0.002278,               0.002278,               0.002278
                     80,                0.67325,                 0.7948,                 1.2836,                0.69258,                0.59753,                0.67548,                0.52596,                0.56287,                0.61841,                 1.2592,               0.002179,               0.002179,               0.002179
                     81,                0.67983,                0.78326,                 1.2864,                0.63369,                0.66776,                0.68358,                0.53077,                0.56125,                0.61384,                 1.2602,                0.00208,                0.00208,                0.00208
                     82,                0.67405,                0.77206,                 1.2791,                 0.6812,                0.65214,                0.68442,                0.53449,                0.55984,                 0.6127,                 1.2587,               0.001981,               0.001981,               0.001981
                     83,                0.67731,                0.77552,                 1.2814,                0.67175,                0.65144,                0.69394,                0.53955,                0.55807,                0.60993,                 1.2561,               0.001882,               0.001882,               0.001882
                     84,                0.66917,                0.76676,                 1.2759,                0.69914,                0.63221,                0.69285,                0.53833,                0.55757,                0.60487,                 1.2545,               0.001783,               0.001783,               0.001783
                     85,                0.67029,                0.77011,                 1.2797,                0.66951,                0.66559,                0.69917,                0.54158,                0.55621,                 0.6003,                 1.2542,               0.001684,               0.001684,               0.001684
                     86,                0.66687,                0.76919,                 1.2746,                0.68319,                0.67339,                0.70387,                0.54528,                0.55792,                0.59677,                 1.2563,               0.001585,               0.001585,               0.001585
                     87,                0.66912,                0.76548,                 1.2744,                0.67701,                0.67247,                0.70205,                0.54588,                0.56018,                0.59839,                 1.2574,               0.001486,               0.001486,               0.001486
                     88,                0.66798,                0.75805,                 1.2742,                0.71522,                0.63631,                 0.7084,                0.55129,                0.55907,                0.59634,                 1.2561,               0.001387,               0.001387,               0.001387
                     89,                0.65845,                0.74665,                 1.2688,                0.65555,                0.68851,                0.71273,                0.55445,                0.55913,                0.59356,                  1.256,               0.001288,               0.001288,               0.001288
                     90,                0.66306,                0.75443,                 1.2742,                0.64797,                0.69204,                0.71392,                0.55439,                0.55798,                0.59097,                 1.2563,               0.001189,               0.001189,               0.001189
                     91,                0.48362,                0.55434,                   1.18,                0.67621,                0.69213,                0.71769,                0.55755,                0.55655,                0.58729,                 1.2555,                0.00109,                0.00109,                0.00109
                     92,                0.47435,                 0.5345,                 1.1725,                0.67505,                0.68998,                0.72137,                0.56155,                0.55642,                0.58535,                 1.2568,               0.000991,               0.000991,               0.000991
                     93,                0.46804,                0.52465,                 1.1666,                0.71896,                 0.6573,                0.72621,                0.56529,                0.55527,                 0.5824,                 1.2566,               0.000892,               0.000892,               0.000892
                     94,                0.47133,                0.51177,                 1.1703,                0.71495,                0.65959,                0.72862,                0.56845,                0.55458,                0.58033,                 1.2562,               0.000793,               0.000793,               0.000793
                     95,                0.46893,                0.50499,                 1.1667,                0.69731,                0.66963,                0.72904,                0.56884,                0.55339,                 0.5783,                 1.2559,               0.000694,               0.000694,               0.000694
                     96,                 0.4603,                0.49645,                 1.1656,                0.70487,                0.67245,                0.73094,                0.57104,                 0.5537,                 0.5772,                 1.2562,               0.000595,               0.000595,               0.000595
                     97,                0.45745,                0.49199,                 1.1585,                0.71299,                0.67165,                0.73282,                0.57362,                0.55377,                0.57561,                 1.2566,               0.000496,               0.000496,               0.000496
                     98,                0.45782,                0.48256,                 1.1566,                0.71615,                0.66928,                0.73543,                0.57479,                0.55388,                0.57394,                 1.2567,               0.000397,               0.000397,               0.000397
                     99,                0.45129,                0.46907,                 1.1543,                0.70593,                 0.6765,                0.73574,                0.57682,                0.55372,                0.57198,                 1.2575,               0.000298,               0.000298,               0.000298
                    100,                0.45396,                0.46089,                 1.1538,                0.71148,                0.67831,                 0.7374,                0.57747,                0.55329,                0.57129,                 1.2573,               0.000199,               0.000199,               0.000199
